date,unemployment_value
01-01-2022,7.271464819756
01-02-2022,7.4985219215408
01-03-2022,7.7978651688704
01-04-2022,7.7474931765825
01-05-2022,7.8039797578749
01-06-2022,7.8114737505625
01-07-2022,7.9188115449306
01-08-2022,7.9293997650867
01-09-2022,8.0400244066344
01-10-2022,7.9683805988207
01-11-2022,7.9488231355874
01-12-2022,7.8627488308129
01-01-2023,8.0372443026616
01-02-2023,8.3676406179058
01-03-2023,8.808478760936
01-04-2023,8.6597088797411
01-05-2023,8.5247377029714
01-06-2023,8.5275846527762
01-07-2023,8.7722140467169
01-08-2023,8.9956512830772
01-09-2023,8.913008571937
01-10-2023,8.8864690786627
01-11-2023,8.732412133756
01-12-2023,8.4756393474728
01-01-2024,8.4356310785176
01-02-2024,8.5042567185626
01-03-2024,8.6777779966085
01-04-2024,8.5237837145473
01-05-2024,8.3128804231685
01-06-2024,8.3481780359655
01-07-2024,8.6841757807491
01-08-2024,8.9013222957233
01-09-2024,8.7423149114593
01-10-2024,8.5800798734878
01-11-2024,8.2176493561929
01-12-2024,8.079730080387
